id,FirstName,LastName,Biography,Link
10543,"Battista dell'",Agnolo,"Italian, c. 1515 - 1573",https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=10543
1998,"Agostino di Duccio","","Italian, 1418 - probably 1481",https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=1998
33676,Eduard,Agricola,"German, 1800 - 1848",https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=33676
9896,"Giovanni Guido",Agrippa,"Italian, active from c. 1501",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=9896
6585,"Leopoldo Torres",Aguero,"Argentinean, born 1924",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=6585
7151,Franciscus,Aguilonius,"Flemish, 1567 - 1617",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=7151
3045,"Ai Ch'i-meng","","German, 1708 - 1780",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=3045
2874,"George Charles",Aid,"American, 1872 - 1938",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=2874
6398,"Walter Monteith",Aikman,"American, 1857 - probably 1939",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=6398
33112,Abe,Ajay,"American, born 1919",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=33112
5902,Kinji,Akagawa,"American, active 20th century",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=5902
2875,Hiroshi,Akana,"Japanese, active 1960",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=2875
2876,"Jan van",Aken,"Dutch, 1614 - 1661",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=2876
5566,"Johann von",Aken,"German, 1552 - 1615",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=5566
12164,Frank,Akers,American,https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=12164
6164,"Willem Outgertsz",Akersloot,"Dutch, active 1620/1634",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=6164
2877,"Masabikh Fatkhylilamovich",Akhunov,"Russian, born 1928",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=2877
7197,Marie,Alain,"American, active c. 1935",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=7197
6266,"W. J.",Alais,"",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=6266
2004,"Pier Jacopo","Alari Bonacolsi","Italian, c. 1460 - 1528",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=2004
2339,Francesco,Albani,"Italian, 1578 - 1660",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=2339
2878,"Gerhard Albin",Albe,"Swedish, born 1892",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=2878
2879,"Grace Thurston Arnold",Albee,"American, 1890 - 1985",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=2879
34616,"Percy F.",Albee,"American, 1883 - 1959",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=34616
1999,"Zanin I",Alberghetti,"Italian, active 1491/1504",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=1999
1999,"Zuanne I (Zanin)",Alberghetti,"Italian, active 1491/1504",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=1999
1999,Giovanni,"Alberghetti I","Italian, active 1491/1504",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=1999
3476,Anni,Albers,"American, born Germany, 1899 - 1994",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=3476
2340,Josef,Albers,"American, born Germany, 1888 - 1976",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=2340
33126,"Rita E.",Albers,"American, 1914 - 1974",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=33126
2880,Adolphe,Albert,"French, 1855 - after 1938",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=2880
12321,Gaetano,Albertazi,"Italian, possibly active 15th or early 16th century",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=12321
2881,Cherubino,Alberti,"Italian, 1553 - 1615",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=2881
6815,Giovanni,Alberti,"Italian, 1558 - 1601",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=6815
2000,"Leone Battista",Alberti,"Italian, 1404 - 1472",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=2000
35203,Ferdinando,Albertolli,"Italian, 1781 - 1844",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=35203
35532,Giocondo,Albertolli,"Italian, 1742 - 1839",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=35532
35202,Raffaeli,Albertolli,"Italian, 1770 - 1812",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=35202
33113,Julien,Alberts,"American, 1916 - 1996",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=33113
2341,Karl,Albiker,"German, born 1878",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=2341
2882,Eleazar,Albin,"British, active 1713/1759",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=2882
33114,Dewey,Albinson,"American, 1898 - 1971",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=33114
27764,"Bernard Siegfried",Albinus,"",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=27764
34388,Felice,Albites,"Italian, 19th century",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=34388
33115,"Gertrude Partington",Albright,"American, 1874 - 1959",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=33115
